EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Geological	Landslide	Capreol ON	26/06/1930 12:00:00 AM	Capreol ON, June 26, 1930.  Slump of railway embankment: passenger train derailed into the Vermillion River.	4	0	0			26/06/1930 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Coalmont BC	01/01/1930 12:00:00 AM	Coalmont BC, 1930. An explosion in the Coalmont Colliery killed 45 people.	45	0	0			01/01/1930 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Liverpool NS	01/01/1930 12:00:00 AM	Liverpool NS, 1930. The Canadian Red Cross evacuated 48 families (assume family of 4).	0	0	192			01/01/1930 12:00:00 AM								0	0
Disaster	Natural	Geological	Tsunami	Burin Peninsula NL	18/11/1929 12:00:00 AM	Burin Peninsula NF, November 18, 1929. An offshore earthquake (magnitude 7.2) on the floor of the Atlantic Ocean caused a massive submarine slump (landslide), which generated a large ocean wave (tsunami); the tsunami drowned 27 people when it struck the Burin Peninsula. A tsunami was also reported to have struck Cape Breton, Nova Scotia, drowning one individual.	28	0	0			18/11/1929 12:00:00 AM								0	7
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	05/04/1929 12:00:00 AM	Southern Ontario, April 5-9, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close in communities along the Grand and Saugeen Rivers and in Metro Toronto.	0	0	0			09/04/1929 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	18/01/1929 12:00:00 AM	Southern Ontario, January 18-20, 1929. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.	0	0	0			20/01/1929 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1929 12:00:00 AM	Prairie Provinces, 1929. Cereal crop drought occurred in parts of the Prairies.	0	0	0	0	0	01/01/1929 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Pike Lake SK	01/04/1928 12:00:00 AM	Pike Lake SK, April 1928. The Canadian Red Cross assisted in the evacuation of 138 residents.	0	0	138			01/04/1928 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Rideau, Chaudière and Quyon Rivers QC	01/01/1928 12:00:00 AM	Rideau, Chaudière and Quyon Rivers QC, 1928. Three people were killed by the flooding when these rivers overflowed their banks.	3	0	0			01/01/1928 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Newfoundland	24/08/1927 12:00:00 AM	Newfoundland, August 24-25, 1927.  A hurricane swept through Atlantic Canada washing out roads, filling basements, ans swamping boats.  In Newfoundland, 56 people died at sea.	56	0	0			25/08/1927 12:00:00 AM								0	0
Disaster	Natural	Biological	Epidemic	Across Canada	01/03/1927 12:00:00 AM	Across Canada, Mar-Sept 1927.  Typhoid. The Canadian Red Cross assisted the people of Canada by donating medical supplies and money to help the victims.  Unknown number of deaths.		0	0			01/09/1927 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Montreal QC	09/01/1927 12:00:00 AM	Montreal QC, January 9, 1927. A fire started in the Laurier Palace Theatre but was quickly extinguished; however, in the ensuing panic, 12 people were crushed to death and 64 died of asphyxiation; many were children between the ages of eight and twelve.	76	0	0			09/01/1927 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Dawson YT	07/05/1925 12:00:00 AM	Dawson YT, May 7, 1925. Ice broke on the Klondike River on May 7, while ice broke on the Yukon River on May 9; an ice jam formed causing severe flooding up to 1.5 m high.	0	0	0			07/05/1925 12:00:00 AM								0	0
Incident	Conflict	Terrorist	Bomb Attacks	British Columbia	29/10/1924 12:00:00 AM	British Columbia, 1924. Nine people were killed when a bomb went off in a railway car carrying a Doukhobor leader.	9	0	0	0	0	29/10/1924 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1924 12:00:00 AM	Prairie Provinces, 1924. Cereal crop drought occurred in parts of the Prairies.	0	0	0	0	0	01/01/1924 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River Basin NB	29/04/1923 12:00:00 AM	Saint John River basin NB, April 29 - May 9 1923. Snowmelt, ice jams and heavy rainfall caused flooding in New Brunswick; flooding occurred in the Saint John River basin as well as river basins in the northeast and southwest; the situation was worsened with the creation of log jams from the lumber industry along the rivers systems; 2 dead due to drowning.	2	0	0			09/05/1923 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Comox BC	01/01/1923 12:00:00 AM	Comox BC, 1923.  An explosion in the Comox Colliery killed 33 people.	33	0	0			01/01/1923 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	01/01/1923 12:00:00 AM	Winnipeg MB, 1923. Severe flooding in the Winnipeg area of the Assiniboine River.	0	0	0			01/01/1923 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Haileybury ON	30/09/1922 12:00:00 AM	Haileybury and northern region ON, September 30 - October 5 1922. 43 dead (unofficially as high as 150), 11,000 homeless, 5180 square kilometres burned.	43	0	11000			05/10/1922 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	Echo Harbour BC	30/09/1922 12:00:00 AM	Echo Harbour BC, September 30, 1922. 5 dead; debris avalanche caused by heavy rains destroyed a logging camp.	5	0	0			30/09/1922 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Portage la Prairie MB	22/06/1922 12:00:00 AM	Portage la Prairie MB, June 22, 1922. A tornado resulted in five dead, many injured.	5	0	0			22/06/1922 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River Basin NB	17/06/1922 12:00:00 AM	Saint John River basin and northeastern river basins NB, June 17-25, 1922.	0	0	0			25/06/1922 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Comox BC	01/01/1922 12:00:00 AM	Comox BC, 1922. An explosion at the Comox Colliery killed 18 people.	18	0	0			01/01/1922 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	Britannia Beach BC	28/10/1921 12:00:00 AM	Britannia Beach BC, October 28, 1921. 37 dead; outburst flood caused by breach of landslide dam swept away more than 50 houses.	37	0	0			28/10/1921 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	St. John's NL	08/02/1921 12:00:00 AM	St. John's NL, February 8, 1921. This snowstorm was one of the worst experienced in the city for years; snow piled up to depths of 2.5 and 3 metres, mostly on streets running north and south; suburban roads were blocked with drifts 3 to 4.5 metres high; businesses on Water Street had to close down; there was no mechanical equipment to remove the snow, and gangs of shovellers and teamsters with box carts had to be employed on Water Street; it took five days to remove 40 000 loads to the harbour.	0	0	0			08/02/1921 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Merville and Lang BC	01/01/1921 12:00:00 AM	Merville and Lang BC, 1921. Fires broke out in the two towns. Unknown number of deaths and homeless.						01/01/1921 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Southern Saskatchewan	01/01/1921 12:00:00 AM	Southern Saskatchewan, 1921. A drought put many farmers out of work, and caused poverty and distress.	0	0	0			01/01/1921 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Southeastern Saskatchewan	22/07/1920 12:00:00 AM	Southeastern Saskatchewan, July 22, 1920. The tornado swept over a large portion of southeastern Saskatchewan, devastating the area. Four people died, more than a dozen were injured, and losses to property, equipment, crops and live stock were estimated to be in excess of $100,000 (1920 dollars). Many settlers lost both their homes and livelihoods in one sudden unexpected blow. Large scale relief was undertaken by the Canadian Red Cross to assist 42 affected families in Alameda, Frobisher, Lampman, Steelman, and Estevan SK.	4	13				22/07/1920 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southwestern Ontario	17/03/1920 12:00:00 AM	Southwestern Ontario, March 17-21, 1920. Widespread flooding caused minor damages and flooded roads and railways.	0	0	0			21/03/1920 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1920 12:00:00 AM	Prairie Provinces, 1920. Cereal crop drought occurred in parts of the Prairies. Alberta communities were hardest hit.	0	0	0	0	0	31/12/1920 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1919 12:00:00 AM	Prairie Provinces, 1919. Cereal crop drought occurred in parts of the Prairies.	0	0	0	0	0	31/12/1919 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Marine	British Columbia, off coast	23/10/1918 12:00:00 AM	West coast BC, October 23, 1918. 343 dead: the CP steamship "Princess Sophia", carrying miners from Yukon and Alaska, became stranded on Vanderbilt Reef.  Rescuers were unable to remove the 268 passengers and 75 crewmen due to a strong northerly gale.  The next day, weather conditions worsened and the ship sank, killing all on board.	343	0	0			23/10/1918 12:00:00 AM								0	0
Incident	Technology	Fire	Non-Residential	Trenton ON	12/10/1918 12:00:00 AM	Trenton ON, October 12, 1918. A munitions factory in the town of Trenton exploded as a result of an uncontrollable fire. The plant was responsible for the production of various chemicals and munitions for the war effort and employed 2500 people. The fire lasted 3 days.	0	0	0			12/10/1918 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Pictou County NS	23/01/1918 12:00:00 AM	Pictou County NS, January 23, 1918. 88 dead, 11 survivors: an explosion at the Allan coal shaft in the Albion Mines between Stellarton and New Glasgow.	88	11	0			23/01/1918 12:00:00 AM								0	0
Disaster	Natural	Biological	Epidemic	Across Canada	01/01/1918 12:00:00 AM	Across Canada, 1918-1925. More than 50,000 dead, two million affected; as part of a world-wide outbreak, Spanish Influenza hit Canadians hard, affecting more than one quarter of the population. The Canadian Red Cross assisted 230 communities in 1918.	50000	2000000	0			01/01/1925 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1918 12:00:00 AM	Prairie Provinces, 1918. Cereal crop drought occurred in parts of the Prairies.	0	0	0	0	0	31/12/1918 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Marine	Halifax and Dartmouth NS	06/12/1917 12:00:00 AM	Halifax and Dartmouth NS, December 6, 1917. 1963 dead, 9000 injured: 1600 buildings destroyed, 12000 damaged, and 6000 people left homeless. The French munitions freighter "Mont Blanc" collided with the Belgian relief ship "Imo" in Halifax Harbour: the Mont Blanc, full of ammunition, caught fire and exploded, devastating the cities of Halifax and Dartmouth: this was the largest man-made explosion ever to occur prior to the first nuclear explosion.	1963	9000	6000			06/12/1917 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Northwestern British Columbia	28/10/1917 12:00:00 AM	Northwestern British Columbia, October 28 - November 19, 1917. Heavy rains caused major flooding along the Skeena and Nass rivers, and landslides also occured in many areas. Numerous bridges were damaged, and the Village of Aiyanish was 'wiped out': houses, crops, and provisions were washed away; cattle and horses drowned.	0	0	0			19/11/1917 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	New Waterford NS	25/07/1917 12:00:00 AM	New Waterford NS, July 25, 1917. 65 dead: an explosion took place in mine #1 of the Dominion Coal Company.	65	0	0			25/07/1917 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Fernie BC	01/01/1917 12:00:00 AM	Fernie BC, 1917.  An explosion at the #3 mine at Coal Creek killed 34 people.	34	0	0			01/01/1917 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1917 12:00:00 AM	Prairie Provinces, 1917. Cereal crop drought occurred in parts of the Prairies.	0	0	0	0	0	01/01/1917 12:00:00 AM								0	0
Incident	Technology	Infrastructure failure	Transportation	Quebec City QC	11/09/1916 12:00:00 AM	Quebec City QC, September 11, 1916. A new centre span for the Quebec Bridge was being hoisted into position when it fell into the St. Lawrence River, killing 13 workmen.	13	0	0			11/09/1916 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Cochrane and Matheson ON	29/07/1916 12:00:00 AM	Cochrane and Matheson ON, July 29, 1916. Both were destroyed;  233 deaths (unofficially as high as 400), 8000 made homeless; the fire resulted from a small blaze started by lightening and augmented by fires started by sparks from a passing locomotive.	233	0	8000			29/07/1916 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	24/04/1916 12:00:00 AM	Winnipeg MB, April 24, 1916. Severe flooding in the Winnipeg area of the Red River.	0	0	0			24/04/1916 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Ottawa ON	03/02/1916 12:00:00 AM	Ottawa ON, February 3, 1916. 7 dead; a fire destroyed the Centre Block of the Parliament buildings; only the library survived intact, due to its metal fire doors being closed.	7	0	0			03/02/1916 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Northeastern New Brunswick	08/07/1915 12:00:00 AM	Northeastern New Brunswick, July 8-9 1915.	0	0	0			09/07/1915 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	Cooper Mine, Jane Camp BC	22/03/1915 12:00:00 AM	Cooper Mine, Jane Camp BC, March 22, 1915. 56 dead, approximately 22 injured; a rock slide from above a portal of a mine wiped out half the buildings at a mine campsite, catching many miners in their bunkhouses.	56	22	0			22/03/1915 12:00:00 AM								0	0
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Wellington BC	01/02/1915 12:00:00 AM	Wellington BC, February 1915. An accident at the Wellington Colliery led to the drowning of 19 miners.	19	0	0			01/02/1915 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	North Saskatchewan River AB and SK	01/01/1915 12:00:00 AM	North Saskatchewan River AB and SK, 1915. The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River; the cities of Edmonton AB, and Prince Albert SK were flooded. About 2000 residents in Edmonton were left homeless.	0	0	2000			01/01/1915 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Nanaimo BC	01/01/1915 12:00:00 AM	Nanaimo BC, 1915.  Western Fuel Company explosion killed 22 people.	22	0	0			01/01/1915 12:00:00 AM								0	0
